GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Klojang JDBC,org.klojang.jdbc.x.rs,ColumnReaderFactory,155,321,39,25,36,82,23,23,0,14
Klojang JDBC,org.klojang.jdbc.x.rs,ResultSetMethod.GetShort,5,0,0,0,1,0,1,0,1,0
Klojang JDBC,org.klojang.jdbc.x.rs,KeyWriter,43,131,2,6,11,30,3,7,1,5
Klojang JDBC,org.klojang.jdbc.x.rs,ResultSetMethod.GetBD,4,0,0,0,1,0,1,0,1,0
Klojang JDBC,org.klojang.jdbc.x.rs,ResultSetMethod.GetString,0,4,0,0,0,1,0,1,0,1
Klojang JDBC,org.klojang.jdbc.x.rs,ResultSetMethod,0,66,0,0,0,16,0,3,0,3
Klojang JDBC,org.klojang.jdbc.x.rs,ResultSetMethod.GetDate,0,4,0,0,0,1,0,1,0,1
Klojang JDBC,org.klojang.jdbc.x.rs,ColumnReader,0,45,0,2,0,14,0,6,0,5
Klojang JDBC,org.klojang.jdbc.x.rs,ResultSetMethod.GetTimestamp,4,0,0,0,1,0,1,0,1,0
Klojang JDBC,org.klojang.jdbc.x.rs,ResultSetMethod.GetInt,0,5,0,0,0,1,0,1,0,1
Klojang JDBC,org.klojang.jdbc.x.rs,ResultSetMethod.GetLong,5,0,0,0,1,0,1,0,1,0
Klojang JDBC,org.klojang.jdbc.x.rs,ResultSetMethod.GetObject,6,6,0,0,1,3,1,1,1,1
Klojang JDBC,org.klojang.jdbc.x.rs,ComponentWriter,0,74,0,2,0,21,0,5,0,4
Klojang JDBC,org.klojang.jdbc.x.rs,ResultSetMethod.GetDouble,5,0,0,0,1,0,1,0,1,0
Klojang JDBC,org.klojang.jdbc.x.rs,ResultSetMethod.GetBoolean,0,5,0,0,0,1,0,1,0,1
Klojang JDBC,org.klojang.jdbc.x.rs,ResultSetMethod.GetByte,5,0,0,0,1,0,1,0,1,0
Klojang JDBC,org.klojang.jdbc.x.rs,RecordFactory,18,220,4,8,6,47,3,11,0,8
Klojang JDBC,org.klojang.jdbc.x.rs,ResultSetMethod.GetBytes,4,0,0,0,1,0,1,0,1,0
Klojang JDBC,org.klojang.jdbc.x.rs,ResultSetMethod.GetTime,4,0,0,0,1,0,1,0,1,0
Klojang JDBC,org.klojang.jdbc.x.rs,PropertyWriter,51,226,9,13,13,56,9,10,1,7
Klojang JDBC,org.klojang.jdbc.x.rs,RecordFactory.WriteConfig,0,9,0,0,0,1,0,1,0,1
Klojang JDBC,org.klojang.jdbc.x.rs,ResultSetMethodLookup,7,173,1,1,1,33,2,4,1,4
Klojang JDBC,org.klojang.jdbc.x.rs,ResultSetMethod.GetFloat,5,0,0,0,1,0,1,0,1,0
Klojang JDBC,org.klojang.jdbc.x.sql,BatchInsertConfig,0,24,0,0,0,1,0,1,0,1
